name,mana_cost,cmc,type_line,oracle_text,loyalty,power,toughness,colours__001,colorus__002,colours__003,egalities__standard,legalities__pauper,set,collector_number,rarity,flavour_text,artist
Abnormal Endurance,"{1},{B}",2,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",,,,B,,,legal,legal,m19,85,common,Tenacity prevails when hopes die.,Tomasz Jedruszek
Act of Treason,"{2},{R}",3,Sorcery,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.,,,,R,,,legal,legal,m19,127,common,She learned a tragic lesson that day: even the purest can be corrupted when the heart's emotions are twisted.,Eric Deschamps
Aegis of the Heavens,"{1},{W}",2,Instant,Target creature gets +1/+7 until end of turn.,,,,W,,,legal,not_legal,m19,1,uncommon,Inner strength is never seen until it makes all the difference.,Anthony Palumbo
Aerial Engineer,"{2},{W},{U}",4,Creature ? Human Artificer,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",,2,4,U,W,,legal,not_legal,m19,211,uncommon,"The best of their trade know every bolt of their rigs, stem to stern.",Zoltan Boros
Aethershield Artificer,"{3},{W}",4,Creature ? Dwarf Artificer,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",,3,3,W,,,legal,not_legal,m19,2,uncommon,"Most smiths shape metal, but some prefer more delicate materials.",Izzy
Aether Tunnel,"{1},{U}",2,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +1/+0 and can't be blocked.,,,,U,,,legal,not_legal,m19,43,uncommon,"If you can't find a doorway, make one.",Lucas Graciano
Aggressive Mammoth,"{3},{G},{G},{G}",6,Creature ? Elephant,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nOther creatures you control have trample.,,8,8,G,,,legal,not_legal,m19,302,rare,"""Approach from behind. That way, if it does charge, at least you aren't in front of it.""\n?Vivien Reid",Filip Burburan
Air Elemental,"{3},{U},{U}",5,Creature ? Elemental,Flying (This creature can't be blocked except by creatures with flying or reach.),,4,4,U,,,legal,not_legal,m19,308,uncommon,"As the ship approached, the jade totem rose high overhead. Power rippled. Eyes of stone glowed and crackled. Out hissed a breath of the world, and a windstorm came alive.",Tomasz Jedruszek
"Ajani, Adversary of Tyrants","{2},{W},{W}",4,Legendary Planeswalker ? Ajani,"+1: Put a +1/+1 counter on each of up to two target creatures.\n?2: Return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.\n?7: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""",4,,,W,,,legal,not_legal,m19,3,mythic,,Victor Adame Minguez
Ajani's Influence,"{2},{W},{W}",4,Sorcery,Put two +1/+1 counters on target creature.\nLook at the top five cards of your library. You may reveal a white card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,,,,W,,,legal,not_legal,m19,282,rare,,Sidharth Chaturvedi
Ajani's Last Stand,"{2},{W},{W}",4,Enchantment,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.\nWhen a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",,,,W,,,legal,not_legal,m19,4,rare,,Slawomir Maniak
Ajani's Pridemate,"{1},{W}",2,Creature ? Cat Soldier,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",,2,2,W,,,legal,not_legal,m19,5,uncommon,"""When one of us prospers, the pride prospers.""\n?Jazal Goldmane",Svetlin Velinov
Ajani's Welcome,{W},1,Enchantment,"Whenever a creature enters the battlefield under your control, you gain 1 life.",,,,W,,,legal,not_legal,m19,6,uncommon,"""You cannot defend others if your own well-being is neglected.""",Eric Deschamps
"Ajani, Wise Counselor","{3},{W},{W}",5,Legendary Planeswalker ? Ajani,"+2: You gain 1 life for each creature you control.\n?3: Creatures you control get +2/+2 until end of turn.\n?9: Put X +1/+1 counters on target creature, where X is your life total.",5,,,W,,,legal,not_legal,m19,281,mythic,,Eric Deschamps
Alpine Moon,{R},1,Enchantment,"As Alpine Moon enters the battlefield, choose a nonbasic land card name.\nLands your opponents control with the chosen name lose all land types and abilities, and they gain ""{T}: Add one mana of any color.""",,,,R,,,legal,not_legal,m19,128,rare,"""A rare and fascinating phenomenon.""\n?Tamiyo",Alayna Danner
Amulet of Safekeeping,{2},2,Artifact,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.\nCreature tokens get -1/-0.",,,,,,,legal,not_legal,m19,226,rare,"Whether it is magical, lucky, or merely old, it is cherished, and that gives it power.",Aaron Miller
Angel of the Dawn,"{4},{W}",5,Creature ? Angel,"Flying\nWhen Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn. (Attacking doesn't cause them to tap.)",,3,3,W,,,legal,legal,m19,7,common,She sings for all those who have been silenced.,Livia Prima
Anticipate,"{1},{U}",2,Instant,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,,,,U,,,legal,legal,m19,44,common,Divining the future is easy when you hold the power to sway it.,Tyler Jacobson
Apex of Power,"{7},{R},{R},{R}",10,Sorcery,"Exile the top seven cards of your library. Until end of turn, you may cast nonland cards exiled this way.\nIf this spell was cast from your hand, add ten mana of any one color.",,,,R,,,legal,not_legal,m19,129,mythic,"""As I desire, so it shall be."" ?Nicol Bolas",Svetlin Velinov
"Arcades, the Strategist","{1},{G},{W},{U}",4,Legendary Creature ? Elder Dragon,"Flying, vigilance\nWhenever a creature with defender enters the battlefield under your control, draw a card.\nEach creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.",,3,5,G,U,W,legal,not_legal,m19,212,mythic,,Even Amundsen
Arcane Encyclopedia,{3},3,Artifact,"{3}, {T}: Draw a card.",,,,,,,legal,not_legal,m19,227,uncommon,"Knowledge itself is neither good nor evil. Just as the wrong book in the wrong hands could doom all existence, the same book in the right hands could save it.",Nic Klein
Arisen Gorgon,"{1},{B},{B}",3,Creature ? Zombie Gorgon,Arisen Gorgon has deathtouch as long as you control a Liliana planeswalker. (Any amount of damage this deals to a creature is enough to destroy it.),,3,3,B,,,legal,not_legal,m19,292,uncommon,"""I'm not picky about what comes up, but the less decay, the better.""\n?Liliana Vess",Livia Prima
Aven Wind Mage,"{2},{U}",3,Creature ? Bird Wizard,"Flying\nWhenever you cast an instant or sorcery spell, Aven Wind Mage gets +1/+1 until end of turn.",,2,2,U,,,legal,legal,m19,45,common,"""My skill sharpens with each beat of my wings.""",Lius Lasahido
Aviation Pioneer,"{2},{U}",3,Creature ? Human Artificer,"When Aviation Pioneer enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.",,1,2,U,,,legal,legal,m19,46,common,"""They say that perfection is unattainable, but they say that about flight too.""",Lake Hurwitz
Banefire,"{X},{R}",1,Sorcery,"Banefire deals X damage to any target.\nIf X is 5 or more, this spell can't be countered and the damage can't be prevented.",,,,R,,,legal,not_legal,m19,130,rare,"For Sarkhan Vol, the dragon is the purest expression of life's savage splendor.",Raymond Swanland
Befuddle,"{2},{U}",3,Instant,Target creature gets -4/-0 until end of turn.\nDraw a card.,,,,U,,,legal,legal,m19,309,common,"""The trick to talking sense into Keldons is getting them to hold still.""",Svetlin Velinov
Blanchwood Armor,"{2},{G}",3,Enchantment ? Aura,Enchant creature\nEnchanted creature gets +1/+1 for each Forest you control.,,,,G,,,legal,not_legal,m19,169,uncommon,,Paolo Parente
